	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
1087	37113	FIPS_37113	Macon County	Western	Southwestern	  Manufacturing	2001	63039.0
1088	37113	FIPS_37113	Macon County	Western	Southwestern	  Wholesale trade	2001	
1089	37113	FIPS_37113	Macon County	Western	Southwestern	  Retail trade	2001	69479.0
1090	37113	FIPS_37113	Macon County	Western	Southwestern	  Transportation and warehousing	2001	8158.0
1091	37113	FIPS_37113	Macon County	Western	Southwestern	  Information	2001	6512.0
1092	37113	FIPS_37113	Macon County	Western	Southwestern	   Real estate and rental and leasing	2001	105754.0
1093	37113	FIPS_37113	Macon County	Western	Southwestern	  Professional and business services	2001	50609.0
1094	37113	FIPS_37113	Macon County	Western	Southwestern	   Management of companies and enterprises	2001	9295.0
1095	37113	FIPS_37113	Macon County	Western	Southwestern	   Administrative and support and waste management and remediation services	2001	14458.0
1096	37113	FIPS_37113	Macon County	Western	Southwestern	   Educational services	2001	1586.0
1097	37113	FIPS_37113	Macon County	Western	Southwestern	   Health care and social assistance	2001	56695.0
1098	37113	FIPS_37113	Macon County	Western	Southwestern	   Arts, entertainment, and recreation	2001	11510.0
1099	37113	FIPS_37113	Macon County	Western	Southwestern	   Accommodation and food services	2001	26513.0
1100	37113	FIPS_37113	Macon County	Western	Southwestern	  Other services (except government and government enterprises)	2001	31947.0
1101	37113	FIPS_37113	Macon County	Western	Southwestern	Government and government enterprises	2001	72841.0
1102	37115	FIPS_37115	Madison County	Western	Mountain Area	  Agriculture, forestry, fishing and hunting	2001	
1103	37115	FIPS_37115	Madison County	Western	Mountain Area	  Mining, quarrying, and oil and gas extraction	2001	0.0
1104	37115	FIPS_37115	Madison County	Western	Mountain Area	  Utilities	2001	8323.0
1105	37115	FIPS_37115	Madison County	Western	Mountain Area	  Construction	2001	31356.0
1106	37115	FIPS_37115	Madison County	Western	Mountain Area	  Manufacturing	2001	
1107	37115	FIPS_37115	Madison County	Western	Mountain Area	  Wholesale trade	2001	
1108	37115	FIPS_37115	Madison County	Western	Mountain Area	  Retail trade	2001	13309.0
1109	37115	FIPS_37115	Madison County	Western	Mountain Area	  Transportation and warehousing	2001	7459.0
1110	37115	FIPS_37115	Madison County	Western	Mountain Area	  Information	2001	759.0
1111	37115	FIPS_37115	Madison County	Western	Mountain Area	   Real estate and rental and leasing	2001	45692.0
1112	37115	FIPS_37115	Madison County	Western	Mountain Area	  Professional and business services	2001	
1113	37115	FIPS_37115	Madison County	Western	Mountain Area	   Management of companies and enterprises	2001	
1114	37115	FIPS_37115	Madison County	Western	Mountain Area	   Administrative and support and waste management and remediation services	2001	
1115	37115	FIPS_37115	Madison County	Western	Mountain Area	   Educational services	2001	
1116	37115	FIPS_37115	Madison County	Western	Mountain Area	   Health care and social assistance	2001	
1117	37115	FIPS_37115	Madison County	Western	Mountain Area	   Arts, entertainment, and recreation	2001	
1118	37115	FIPS_37115	Madison County	Western	Mountain Area	   Accommodation and food services	2001	
1119	37115	FIPS_37115	Madison County	Western	Mountain Area	  Other services (except government and government enterprises)	2001	11236.0
1120	37115	FIPS_37115	Madison County	Western	Mountain Area	Government and government enterprises	2001	40989.0
1121	37117	FIPS_37117	Martin County	Northeast	Region Q	  Agriculture, forestry, fishing and hunting	2001	24097.0
1122	37117	FIPS_37117	Martin County	Northeast	Region Q	  Mining, quarrying, and oil and gas extraction	2001	0.0
